instancia;arquivo;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Edinburgh-2;.\data\Edinburgh-2.bus;6;746922810;1;45.106000;45.106000;0.000000;9;10;320;8181.000000;909.000000;1341.000000;184;138;60.358533;66.370309
Edinburgh-2;.\data\Edinburgh-2.bus;7;2120361354;1;47.391000;47.391000;0.000000;9;10;320;8284.000000;920.444444;1801.000000;204;201;60.169191;65.837275
Edinburgh-2;.\data\Edinburgh-2.bus;8;661778198;1;42.954000;42.954000;0.000000;10;11;320;8001.000000;800.100000;1712.000000;209;208;60.251089;66.323906
Edinburgh-2;.\data\Edinburgh-2.bus;9;1828927181;1;400047.779000;47.779000;400000.000000;9;11;320;8701.000000;966.777778;1571.000000;183;105;60.049546;66.216324
Edinburgh-2;.\data\Edinburgh-2.bus;10;331083922;1;41.940000;41.940000;0.000000;9;10;320;7790.000000;865.555556;1374.000000;176;133;60.382608;67.460365
MiltonKeynes;.\data\MiltonKeynes.bus;1;1341151716;1;105.202000;105.202000;0.000000;8;10;274;7651.000000;956.375000;1291.000000;262;162;19.760334;22.676293
MiltonKeynes;.\data\MiltonKeynes.bus;2;3821944079;1;103.746000;103.746000;0.000000;8;10;274;8057.000000;1007.125000;1249.000000;399;299;21.354558;23.026868
MiltonKeynes;.\data\MiltonKeynes.bus;3;1831164907;1;105.620000;105.620000;0.000000;8;9;274;7798.000000;974.750000;1351.000000;335;235;18.457457;20.127748
MiltonKeynes;.\data\MiltonKeynes.bus;4;3222851995;1;98.226000;98.226000;0.000000;7;10;274;7181.000000;1025.857143;1110.000000;646;546;36.320629;37.963160
MiltonKeynes;.\data\MiltonKeynes.bus;5;3837077245;1;109.089000;109.089000;0.000000;8;11;274;8310.000000;1038.750000;1674.000000;545;445;29.892661;31.522691
MiltonKeynes;.\data\MiltonKeynes.bus;6;2978144236;1;107.095000;107.095000;0.000000;8;13;274;8095.000000;1011.875000;1616.000000;171;71;9.764724;11.415259
MiltonKeynes;.\data\MiltonKeynes.bus;7;4055136414;1;105.549000;105.549000;0.000000;8;10;274;7936.000000;992.000000;1249.000000;279;179;14.073164;15.662463
MiltonKeynes;.\data\MiltonKeynes.bus;8;2198006964;1;106.030000;106.030000;0.000000;8;10;274;7660.000000;957.500000;1313.000000;216;116;11.293722;13.104052
MiltonKeynes;.\data\MiltonKeynes.bus;9;2155372102;1;103.460000;103.460000;0.000000;8;12;274;7811.000000;976.375000;1212.000000;511;411;25.999795;27.654288
MiltonKeynes;.\data\MiltonKeynes.bus;10;1994016109;1;104.025000;104.025000;0.000000;8;9;274;7377.000000;922.125000;1203.000000;272;172;15.547496;17.194903
Porthcawl;.\data\Porthcawl.bus;1;2679857523;1;25.538000;25.538000;0.000000;3;3;66;2721.000000;907.000000;984.000000;161;61;3.071214;3.215205
Porthcawl;.\data\Porthcawl.bus;2;2441391258;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;107;7;2.004554;2.133639
Porthcawl;.\data\Porthcawl.bus;3;496577232;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;107;7;2.142066;2.288132
Porthcawl;.\data\Porthcawl.bus;4;1299440006;1;25.765000;25.765000;0.000000;2;3;66;2634.000000;1317.000000;1614.000000;120;20;2.393900;2.543397
Porthcawl;.\data\Porthcawl.bus;5;1362730766;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;107;7;2.088363;2.233503
Porthcawl;.\data\Porthcawl.bus;6;2135924991;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;112;12;2.209289;2.361781
Porthcawl;.\data\Porthcawl.bus;7;1781665012;1;25.483000;25.483000;0.000000;2;4;66;2598.000000;1299.000000;1614.000000;178;78;3.339518;3.498400
Porthcawl;.\data\Porthcawl.bus;8;2934591847;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;113;13;2.063536;2.195705
Porthcawl;.\data\Porthcawl.bus;9;3720769483;1;25.483000;25.483000;0.000000;2;3;66;2598.000000;1299.000000;1614.000000;111;11;2.113459;2.258422
Porthcawl;.\data\Porthcawl.bus;10;3937190838;1;25.538000;25.538000;0.000000;3;4;66;2721.000000;907.000000;984.000000;105;5;2.018008;2.159584
Suffolk;.\data\Suffolk.bus;1;1075697607;1;163.633000;163.633000;0.000000;6;20;209;12409.000000;2068.166667;2742.000000;691;591;8.503324;8.702186
Suffolk;.\data\Suffolk.bus;2;467846273;1;155.825000;155.825000;0.000000;6;22;209;11888.000000;1981.333333;2411.000000;624;524;7.808442;7.954757
Suffolk;.\data\Suffolk.bus;3;2074616363;1;166.830000;166.830000;0.000000;6;22;209;12764.000000;2127.333333;2810.000000;557;457;6.966167;7.141532
Suffolk;.\data\Suffolk.bus;4;2128121018;1;153.577000;153.577000;0.000000;6;23;209;11745.000000;1957.500000;2520.000000;254;154;3.573869;3.715734
Suffolk;.\data\Suffolk.bus;5;4232947045;1;183.323000;183.323000;0.000000;7;22;209;13468.000000;1924.000000;3134.000000;376;276;5.140517;5.287155
Suffolk;.\data\Suffolk.bus;6;1000022711;1;154.768000;154.768000;0.000000;6;25;209;11961.000000;1993.500000;2432.000000;434;334;5.628083;5.778354
Suffolk;.\data\Suffolk.bus;7;2231171609;1;157.030000;157.030000;0.000000;6;22;209;11754.000000;1959.000000;2636.000000;421;321;5.944151;6.074437
Suffolk;.\data\Suffolk.bus;8;1876302258;1;158.076000;158.076000;0.000000;6;22;209;11845.000000;1974.166667;3004.000000;545;445;7.053695;7.201931
Suffolk;.\data\Suffolk.bus;9;2632361940;1;171.890000;171.890000;0.000000;6;24;209;12660.000000;2110.000000;2598.000000;338;238;4.471318;4.610585
Suffolk;.\data\Suffolk.bus;10;3227852600;1;169.395000;169.395000;0.000000;6;21;209;13237.000000;2206.166667;3141.000000;405;305;5.273313;5.428818
